molecule_id,therapeutic_area,molecular_weight,logP,hbond_donors,hbond_acceptors
MOL00000,Immunology,444.63,4.01,4,1
MOL00001,Immunology,403.8,1.02,1,2
MOL00002,Cardiology,299.18,3.63,4,4
MOL00003,Cardiology,364.83,3.07,5,4
MOL00004,Immunology,531.93,2.44,3,4
MOL00005,Neurology,264.2,4.61,3,8
MOL00006,Cardiology,444.96,3.19,5,2
MOL00007,Oncology,345.41,2.52,4,9
MOL00008,Neurology,343.47,1.69,0,6
MOL00009,Cardiology,524.92,2.4,1,1
MOL00010,Immunology,535.47,2.87,4,7
MOL00011,Immunology,262.18,4.59,4,8
MOL00012,Immunology,498.99,4.24,0,5
MOL00013,Immunology,292.12,1.37,4,2
MOL00014,Neurology,386.38,2.47,1,8
MOL00015,Oncology,428.82,3.76,5,9
MOL00016,Oncology,287.91,2.65,0,2
MOL00017,Cardiology,477.95,2.9,4,10
MOL00018,Neurology,332.12,1.42,4,3
MOL00019,Oncology,265.9,1.0,0,6
MOL00020,Neurology,513.52,4.01,2,3
MOL00021,Neurology,293.39,1.01,4,4
MOL00022,Cardiology,540.39,2.73,3,9
MOL00023,Cardiology,374.52,2.98,0,6
MOL00024,Oncology,511.79,4.86,4,7
MOL00025,Cardiology,506.27,1.69,4,3
MOL00026,Oncology,313.34,3.79,5,5
MOL00027,Oncology,500.21,3.09,5,5
MOL00028,Neurology,257.96,2.52,1,1
MOL00029,Neurology,296.26,4.72,0,6
MOL00030,Immunology,489.33,3.24,4,7
MOL00031,Cardiology,256.81,4.97,2,9
MOL00032,Oncology,496.88,4.42,5,4
MOL00033,Cardiology,309.52,3.05,0,4
MOL00034,Immunology,437.16,4.79,2,1
MOL00035,Neurology,330.8,1.44,4,3
MOL00036,Neurology,476.09,1.61,5,3
MOL00037,Neurology,445.17,3.46,0,8
MOL00038,Oncology,461.59,3.75,5,3
MOL00039,Neurology,349.02,1.18,0,6
MOL00040,Neurology,427.0,4.34,2,10
MOL00041,Neurology,502.88,2.96,2,6
MOL00042,Cardiology,525.12,4.4,3,5
MOL00043,Immunology,282.41,2.3,2,4
MOL00044,Cardiology,320.72,1.43,1,3
MOL00045,Oncology,260.09,3.42,1,10
MOL00046,Immunology,345.15,2.68,2,5
MOL00047,Immunology,506.75,1.21,3,3
MOL00048,Neurology,487.81,4.03,0,2
MOL00049,Immunology,302.14,4.97,3,1
MOL00050,Neurology,356.45,3.85,0,5
MOL00051,Neurology,325.15,4.13,1,3
MOL00052,Immunology,453.85,3.19,1,6
MOL00053,Immunology,336.92,1.45,3,2
MOL00054,Neurology,400.28,4.23,3,3
MOL00055,Immunology,357.17,4.85,2,6
MOL00056,Immunology,417.35,1.24,5,4
MOL00057,Immunology,468.11,3.91,1,7
MOL00058,Oncology,459.19,2.05,1,3
MOL00059,Immunology,268.71,1.39,3,3
MOL00060,Neurology,280.3,2.64,0,9
MOL00061,Neurology,496.58,4.61,0,2
MOL00062,Neurology,358.91,1.18,3,3
MOL00063,Immunology,487.44,1.24,2,6
MOL00064,Oncology,313.38,2.82,5,10
MOL00065,Cardiology,472.93,2.63,0,4
MOL00066,Immunology,479.02,3.54,3,8
MOL00067,Oncology,362.94,4.84,5,10
MOL00068,Cardiology,410.06,3.89,5,3
MOL00069,Cardiology,416.85,1.09,1,1
MOL00070,Oncology,309.69,4.75,0,3
MOL00071,Neurology,431.17,2.98,5,4
MOL00072,Oncology,500.98,2.14,4,4
MOL00073,Cardiology,262.85,3.09,0,3
MOL00074,Neurology,376.41,3.84,0,1
MOL00075,Neurology,390.74,1.6,5,3
MOL00076,Cardiology,461.7,4.15,4,2
MOL00077,Immunology,365.54,1.48,3,4
MOL00078,Immunology,366.9,2.3,4,9
MOL00079,Neurology,325.49,1.73,0,1
MOL00080,Oncology,432.06,4.11,0,9
MOL00081,Oncology,461.45,3.3,3,5
MOL00082,Oncology,265.92,1.7,2,5
MOL00083,Immunology,345.98,2.24,5,4
MOL00084,Cardiology,453.66,2.93,1,2
MOL00085,Neurology,435.9,1.08,5,8
MOL00086,Cardiology,426.53,1.69,0,2
MOL00087,Cardiology,333.16,2.31,1,10
MOL00088,Cardiology,327.02,4.24,4,10
MOL00089,Neurology,282.54,4.06,0,4
MOL00090,Cardiology,396.13,1.14,4,10
MOL00091,Immunology,390.45,4.65,2,4
MOL00092,Oncology,465.95,3.98,3,5
MOL00093,Neurology,380.1,2.75,1,8
MOL00094,Cardiology,542.19,4.65,4,3
MOL00095,Cardiology,409.3,4.17,0,9
MOL00096,Neurology,328.75,2.6,2,7
MOL00097,Cardiology,290.93,2.95,5,10
MOL00098,Neurology,465.14,4.69,0,5
MOL00099,Immunology,332.48,3.49,1,1
MOL00100,Oncology,329.59,2.43,1,8
MOL00101,Oncology,285.88,3.65,0,1
MOL00102,Oncology,250.78,2.92,1,5
MOL00103,Oncology,426.08,1.73,1,6
MOL00104,Immunology,377.45,1.29,3,8
MOL00105,Immunology,513.65,2.43,2,3
MOL00106,Neurology,484.31,3.4,1,1
MOL00107,Neurology,396.5,1.67,0,6
MOL00108,Cardiology,406.11,4.77,0,4
MOL00109,Oncology,380.53,4.12,2,6
MOL00110,Oncology,457.95,3.89,3,1
MOL00111,Cardiology,360.97,4.33,0,9
MOL00112,Cardiology,272.69,1.78,4,3
MOL00113,Neurology,359.02,1.97,3,1
MOL00114,Neurology,405.07,4.53,0,10
MOL00115,Oncology,525.09,3.79,5,10
MOL00116,Neurology,278.96,2.33,1,6
MOL00117,Immunology,379.34,4.87,1,7
MOL00118,Oncology,333.77,1.09,1,8
MOL00119,Immunology,350.57,4.56,4,6
MOL00120,Immunology,496.41,2.36,4,7
MOL00121,Immunology,320.29,2.58,1,8
MOL00122,Neurology,256.42,2.48,4,3
